// FSK Legacy TX sample rate converter filter table, resample 2.4->2.5MHz, Q15 
       0,   32767,       0,       0,    -513,   32697,     594,     -42,
    -948,   32486,    1270,     -86,   -1308,   32136,    2030,    -135,
   -1598,   31650,    2873,    -189,   -1821,   31034,    3798,    -250,
   -1984,   30293,    4804,    -319,   -2090,   29436,    5886,    -397,
   -2148,   28469,    7041,    -485,   -2161,   27402,    8264,    -582,
   -2135,   26245,    9547,    -690,   -2078,   25009,   10884,    -808,
   -1993,   23705,   12266,    -934,   -1888,   22345,   13684,   -1068,
   -1766,   20941,   15128,   -1207,   -1633,   19506,   16587,   -1350,
   -1493,   18050,   18050,   -1493,   -1350,   16587,   19506,   -1633,
   -1207,   15128,   20941,   -1766,   -1068,   13684,   22345,   -1888,
    -934,   12266,   23705,   -1993,    -808,   10884,   25009,   -2078,
    -690,    9547,   26245,   -2135,    -582,    8264,   27402,   -2161,
    -485,    7041,   28469,   -2148,    -397,    5886,   29436,   -2090,
    -319,    4804,   30293,   -1984,    -250,    3798,   31034,   -1821,
    -189,    2873,   31650,   -1598,    -135,    2030,   32136,   -1308,
     -86,    1270,   32486,    -948,     -42,     594,   32697,    -513,
